Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,835.70,842.20,821.10,836.10,7999300,836.10
2016-07-14,832.10,853.30,820.00,843.40,8834600,843.40
2016-07-13,832.00,856.80,636.557,812.20,10239800,812.20
2016-07-12,812.30,836.60,799.40,830.50,10620500,830.50
2016-07-11,759.20,810.00,759.20,808.90,8337300,808.90
2016-07-08,744.30,764.00,737.20,745.00,7381900,745.00
2016-07-07,744.80,778.00,743.154,746.50,8563800,746.50
2016-07-06,731.00,761.00,711.90,730.20,6567200,730.20
2016-07-05,758.90,764.40,720.20,739.80,6832200,739.80
2016-07-04,777.90,785.984,753.833,764.00,4142200,764.00
2016-07-01,733.70,758.90,713.90,758.00,6097200,758.00
2016-06-30,697.00,733.40,679.20,726.90,10565400,726.90
2016-06-29,663.60,697.00,657.80,696.90,7482400,696.90
2016-06-28,649.40,657.40,640.00,644.90,9315100,644.90
2016-06-27,665.50,685.30,623.10,629.90,10759200,629.90
2016-06-24,579.00,679.70,579.00,659.00,12095900,659.00
2016-06-23,673.10,699.80,666.385,694.70,6618700,694.70
2016-06-22,666.10,679.00,657.10,670.50,6424700,670.50
2016-06-21,656.00,663.10,637.80,658.30,5724800,658.30
2016-06-20,666.00,670.20,646.504,670.00,8310000,670.00
2016-06-17,613.60,649.20,613.60,636.50,9841300,636.50
2016-06-16,620.80,629.50,597.90,612.40,7958700,612.40
2016-06-15,610.00,640.40,609.60,631.00,6599100,631.00
2016-06-14,621.80,631.00,597.70,599.50,7498200,599.50
2016-06-13,632.50,643.90,625.20,635.40,7629700,635.40
2016-06-10,659.50,669.90,638.30,642.50,6384000,642.50
2016-06-09,694.40,701.58,662.10,666.00,6428700,666.00
2016-06-08,665.10,708.10,664.50,697.50,7812600,697.50
2016-06-07,688.00,710.50,663.085,665.50,9276900,665.50
2016-06-06,628.00,699.40,628.00,686.60,14052600,686.60
2016-06-03,604.40,619.90,589.80,617.90,9357200,617.90
2016-06-02,592.50,601.10,581.00,587.50,6261300,587.50
2016-06-01,587.00,592.90,572.00,592.10,8722200,592.10
2016-05-31,619.70,624.40,600.10,600.10,9310400,600.10
2016-05-30,612.00,612.00,612.00,612.00,000,612.00
2016-05-27,635.00,641.60,608.10,612.00,6110300,612.00
2016-05-26,630.00,649.10,625.20,629.20,6909200,629.20
2016-05-25,615.40,622.30,595.60,620.20,7165800,620.20
2016-05-24,596.40,615.00,589.80,608.50,7393500,608.50
2016-05-23,594.00,600.40,574.50,598.40,9492000,598.40
2016-05-20,595.30,616.10,592.80,600.30,9703300,600.30
2016-05-19,576.50,586.60,557.00,579.30,12810600,579.30
2016-05-18,601.20,613.50,587.669,606.10,11709000,606.10
2016-05-17,617.70,647.50,613.00,628.70,11644700,628.70
2016-05-16,592.60,622.70,592.30,609.50,8591800,609.50
2016-05-13,568.40,592.30,561.00,578.20,9343100,578.20
2016-05-12,609.60,614.00,563.20,575.00,12917400,575.00
2016-05-11,587.70,624.50,587.70,617.30,10468400,617.30
2016-05-10,565.40,599.20,555.20,585.80,13434700,585.80
2016-05-09,624.50,634.80,556.70,559.50,13735000,559.50
2016-05-06,650.50,654.10,610.30,649.40,9520800,649.40
2016-05-05,648.90,672.545,636.80,654.60,7609500,654.60
2016-05-04,657.20,671.00,627.60,643.20,13047800,643.20
2016-05-03,741.00,749.50,662.00,665.70,12638800,665.70
2016-04-29,745.20,778.70,744.60,763.40,12887600,763.40
2016-04-28,705.00,753.20,700.70,753.20,11889200,753.20
2016-04-27,657.10,707.80,655.967,696.90,8482700,696.90
2016-04-26,670.00,686.10,658.00,667.20,11774900,667.20
2016-04-25,731.00,731.00,678.00,679.10,11267900,679.10
2016-04-22,740.40,744.00,711.60,732.80,10651500,732.80
2016-04-21,798.20,814.60,730.50,747.30,16608900,747.30
2016-04-20,750.00,806.70,729.62,792.00,16561100,792.00
2016-04-19,703.20,753.20,697.365,752.50,13635600,752.50
2016-04-18,657.20,697.40,642.00,693.60,7464600,693.60
2016-04-15,676.60,690.00,662.10,678.30,8143800,678.30
2016-04-14,704.00,709.30,669.00,690.20,12710800,690.20
2016-04-13,652.30,710.364,652.30,709.30,19485200,709.30
2016-04-12,587.30,641.00,582.70,638.70,16235700,638.70
2016-04-11,545.00,586.20,543.10,585.10,10038100,585.10
2016-04-08,509.50,550.00,503.80,547.20,9135000,547.20
2016-04-07,527.30,548.10,504.40,506.10,11487400,506.10
2016-04-06,529.70,546.90,502.30,522.50,10376800,522.50
2016-04-05,538.00,538.00,510.90,525.70,10704500,525.70
2016-04-04,538.10,558.80,531.40,547.50,7566500,547.50
2016-04-01,543.20,560.30,518.00,538.40,9585500,538.40
2016-03-31,528.00,554.20,509.80,552.10,13890200,552.10
2016-03-30,492.05,545.70,492.05,535.70,13881200,535.70
2016-03-29,506.80,513.60,469.65,479.10,8885600,479.10
2016-03-28,500.80,500.80,500.80,500.80,000,500.80
2016-03-24,500.60,508.70,480.00,500.80,12658400,500.80
2016-03-23,548.70,557.30,507.90,523.50,11348000,523.50
2016-03-22,545.70,557.30,535.30,553.30,6081900,553.30
2016-03-21,548.90,560.60,531.90,549.50,5434900,549.50
2016-03-18,550.00,563.70,537.778,555.40,17931900,555.40
2016-03-17,519.60,548.20,519.60,540.90,17576500,540.90
2016-03-16,489.80,505.00,479.75,492.70,6673000,492.70
2016-03-15,514.00,516.10,478.40,487.45,13546000,487.45
2016-03-14,517.80,552.20,513.00,546.50,12175100,546.50
2016-03-11,514.50,524.312,494.25,515.60,7456300,515.60
2016-03-10,532.70,545.80,489.90,502.80,13601800,502.80
2016-03-09,526.60,550.50,503.20,530.30,14500300,530.30
2016-03-08,609.30,610.10,528.501,530.90,19861300,530.90
2016-03-07,585.20,630.30,561.404,628.10,20625300,628.10
2016-03-04,543.10,599.20,543.10,592.00,16064000,592.00
2016-03-03,532.40,561.621,523.10,533.00,16565100,533.00
2016-03-02,510.00,529.50,497.85,524.10,12167700,524.10
2016-03-01,486.90,515.50,476.425,491.30,11938700,491.30
2016-02-29,444.55,488.70,436.45,480.25,15055000,480.25
2016-02-26,429.00,454.90,425.40,450.60,13383000,450.60
2016-02-25,423.65,447.80,416.25,422.15,11541300,422.15
2016-02-24,449.60,450.15,399.85,409.75,14010300,409.75
2016-02-23,467.80,476.95,448.30,453.10,11321300,453.10
2016-02-22,445.60,488.85,445.60,483.75,11898200,483.75
2016-02-19,432.25,442.30,424.45,436.65,12084900,436.65
2016-02-18,468.00,468.70,428.20,432.00,28344300,432.00
2016-02-17,400.00,468.05,395.65,468.05,23865900,468.05
2016-02-16,418.65,423.10,360.00,397.95,19637100,397.95
2016-02-15,384.50,410.00,380.00,393.05,14502900,393.05
2016-02-12,323.75,373.95,323.75,373.95,15365600,373.95
2016-02-11,323.60,331.40,306.45,315.95,15141500,315.95
2016-02-10,339.65,350.25,315.10,327.00,12522600,327.00
2016-02-09,373.25,373.25,331.75,333.80,15716700,333.80
2016-02-08,367.35,376.50,343.50,376.10,17665300,376.10
2016-02-05,317.00,376.55,310.75,363.35,39203100,363.35
2016-02-04,305.00,342.70,288.55,328.30,27597900,328.30
2016-02-03,250.95,275.80,245.80,273.70,12821900,273.70
2016-02-02,271.45,272.90,244.70,252.15,13476000,252.15
2016-02-01,280.05,286.442,263.70,274.05,12702500,274.05
2016-01-29,283.80,287.85,262.10,277.45,15165700,277.45
2016-01-28,259.50,292.75,255.85,275.90,23128700,275.90
2016-01-27,252.00,255.45,238.10,253.75,16470900,253.75
2016-01-26,222.30,254.55,215.55,253.35,21886400,253.35
2016-01-25,229.60,251.168,216.914,226.60,14248000,226.60
2016-01-22,255.55,260.70,224.45,226.70,24012700,226.70
2016-01-21,222.65,250.20,217.20,248.00,24697200,248.00
2016-01-20,222.00,228.151,218.75,221.05,15914300,221.05
2016-01-19,242.35,261.65,237.00,238.80,18801600,238.80
2016-01-18,232.70,242.75,227.35,232.65,12321000,232.65
2016-01-15,251.80,256.55,230.30,232.75,20904600,232.75
2016-01-14,231.00,271.90,228.00,262.95,22790300,262.95
2016-01-13,236.00,248.30,227.10,231.45,18358800,231.45
2016-01-12,230.00,251.75,222.40,232.50,19400400,232.50
2016-01-11,225.95,243.95,221.50,230.45,17122100,230.45
2016-01-08,242.85,250.30,227.90,229.20,14790400,229.20
2016-01-07,251.00,252.45,237.65,240.65,21010700,240.65
2016-01-06,281.00,282.00,259.35,270.40,13893700,270.40
2016-01-05,278.40,291.70,275.45,283.20,10650700,283.20
2016-01-04,292.35,294.458,272.75,277.85,13842100,277.85
2015-12-31,301.40,303.70,296.90,299.45,1701500,299.45
2015-12-30,304.60,314.455,296.30,301.80,6308700,301.80
2015-12-29,322.60,323.076,301.85,307.35,9476500,307.35
2015-12-28,328.05,328.05,328.05,328.05,000,328.05
2015-12-25,328.05,328.05,328.05,328.05,000,328.05
2015-12-24,323.35,331.25,323.35,328.05,2278100,328.05
2015-12-23,301.30,324.73,301.30,323.35,11160400,323.35
2015-12-22,284.30,297.506,282.50,296.50,7686100,296.50
2015-12-21,279.90,298.20,276.456,280.50,11136800,280.50
2015-12-18,264.25,283.00,262.00,278.65,16656900,278.65
2015-12-17,282.10,286.65,261.65,263.55,12286500,263.55
2015-12-16,261.55,285.713,261.50,278.20,15688600,278.20
2015-12-15,285.10,292.964,269.65,271.10,16488700,271.10
2015-12-14,293.55,305.00,278.80,280.80,15824700,280.80
2015-12-11,316.30,321.30,291.15,292.95,21626700,292.95
2015-12-10,322.00,333.60,313.60,318.65,21192600,318.65
2015-12-09,334.00,334.20,277.60,319.70,26621800,319.70
2015-12-08,360.25,365.15,322.65,323.65,26444600,323.65
2015-12-07,377.65,381.50,367.40,369.00,8040300,369.00
2015-12-04,385.00,401.05,371.80,376.05,14784600,376.05
2015-12-03,395.00,404.20,385.237,386.85,11193500,386.85
2015-12-02,407.65,408.35,391.55,397.55,8947900,397.55
2015-12-01,412.60,417.05,401.15,406.30,9828800,406.30
2015-11-30,399.60,410.45,385.45,408.65,12235400,408.65
2015-11-27,431.30,431.30,393.20,400.15,14440800,400.15
2015-11-26,418.15,436.20,417.25,435.80,10598800,435.80
2015-11-25,449.85,453.374,410.40,417.20,15950400,417.20
2015-11-24,439.70,460.50,437.50,452.00,11356800,452.00
2015-11-23,431.80,448.00,424.95,441.15,9498100,441.15
2015-11-20,454.65,464.55,444.55,446.50,7634600,446.50
2015-11-19,456.00,468.95,442.70,450.75,9860100,450.75
2015-11-18,427.20,452.60,417.20,449.45,12356200,449.45
2015-11-17,460.00,469.55,427.70,431.00,13843900,431.00
2015-11-16,453.35,474.45,450.00,454.00,9306400,454.00
2015-11-13,450.00,471.35,447.065,456.20,11415700,456.20
2015-11-12,492.55,492.60,445.35,449.90,15737800,449.90
2015-11-11,489.85,507.90,481.45,492.75,9557000,492.75
2015-11-10,518.50,518.50,481.70,491.75,16240700,491.75
2015-11-09,524.30,544.80,515.109,516.00,11522600,516.00
2015-11-06,536.40,547.90,513.60,525.40,14453800,525.40
2015-11-05,575.80,587.814,530.30,534.60,11977200,534.60
2015-11-04,570.60,605.60,549.979,579.10,13238700,579.10
2015-11-03,546.80,562.40,532.00,561.90,7515000,561.90
2015-11-02,540.50,551.50,530.243,544.30,5869700,544.30
2015-10-30,536.60,552.00,536.60,546.60,9649000,546.60
2015-10-29,552.60,552.60,530.10,537.00,9772300,537.00
2015-10-28,556.20,565.50,535.00,563.00,10254400,563.00
2015-10-27,585.40,605.50,554.60,557.40,7777300,557.40
2015-10-26,606.00,615.70,584.80,590.90,6162200,590.90
2015-10-23,602.70,627.50,583.80,609.90,15430900,609.90
2015-10-22,594.00,603.10,577.60,596.90,12180800,596.90
2015-10-21,622.20,623.40,592.20,604.60,8492500,604.60
2015-10-20,621.80,629.30,611.00,623.00,8745900,623.00
2015-10-19,673.20,676.00,623.00,625.50,8252100,625.50
2015-10-16,681.60,693.50,671.90,675.30,9333600,675.30
2015-10-15,687.90,701.30,666.60,677.00,7833300,677.00
2015-10-14,667.30,698.00,659.20,681.00,7593800,681.00
2015-10-13,686.90,686.90,660.50,679.20,7215500,679.20
2015-10-12,732.60,732.76,684.40,691.70,8496700,691.70
2015-10-09,695.20,745.60,693.00,726.50,15270400,726.50
2015-10-08,659.00,678.50,646.90,677.50,11608800,677.50
2015-10-07,632.00,688.20,619.50,664.50,18742900,664.50
2015-10-06,582.30,608.70,562.20,604.20,12606100,604.20
