Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,2758.00,2798.00,2744.00,2792.00,871300,2792.00
2016-07-14,2814.00,2832.00,2765.00,2772.00,1237300,2772.00
2016-07-13,2825.00,2830.00,2347.04,2800.00,1451700,2800.00
2016-07-12,2842.00,2863.00,2819.00,2820.00,968300,2820.00
2016-07-11,2844.00,2850.00,2791.00,2844.00,603700,2844.00
2016-07-08,2769.00,2826.00,2744.00,2826.00,1408400,2826.00
2016-07-07,2635.00,2821.00,2628.00,2780.00,2098000,2780.00
2016-07-06,2601.00,2618.00,2549.00,2553.00,1732200,2553.00
2016-07-05,2667.00,2675.00,2543.00,2606.00,1737700,2606.00
2016-07-04,2750.00,2750.00,2675.00,2675.00,723700,2675.00
2016-07-01,2732.00,2751.00,2709.00,2732.00,875400,2732.00
2016-06-30,2668.00,2724.00,2644.00,2719.00,1364900,2719.00
2016-06-29,2580.00,2665.00,2562.00,2665.00,1356800,2665.00
2016-06-28,2500.00,2574.00,2456.00,2555.00,2035500,2555.00
2016-06-27,2721.00,2732.00,2339.00,2350.00,3615000,2350.00
2016-06-24,2400.00,2784.00,1910.00,2775.00,4570800,2775.00
2016-06-23,2820.00,2848.00,2801.00,2829.00,1315700,2829.00
2016-06-22,2865.00,2870.00,2802.00,2802.00,1120500,2802.00
2016-06-21,2880.00,2919.00,2876.00,2901.00,711900,2901.00
2016-06-20,2836.00,2914.00,2824.00,2894.00,630300,2894.00
2016-06-17,2789.00,2806.00,2773.00,2775.00,1011600,2775.00
2016-06-16,2803.00,2818.00,2767.00,2781.00,839600,2781.00
2016-06-15,2837.00,2859.00,2832.00,2835.00,843800,2835.00
2016-06-14,2853.00,2870.00,2821.00,2822.00,883600,2822.00
2016-06-13,2849.00,2877.00,2835.00,2856.00,842000,2856.00
2016-06-10,2929.00,2944.00,2854.00,2867.00,634700,2867.00
2016-06-09,2939.00,2940.00,2925.00,2940.00,536200,2940.00
2016-06-08,2928.00,2949.00,2922.00,2943.00,631900,2943.00
2016-06-07,2952.00,2971.00,2938.00,2940.00,457100,2940.00
2016-06-06,2951.00,2972.00,2945.83,2949.00,643700,2949.00
2016-06-03,2919.00,2963.00,2906.00,2951.00,786800,2951.00
2016-06-02,2915.00,2918.50,2889.00,2900.00,686500,2900.00
2016-06-01,2937.00,2941.00,2903.00,2928.00,682100,2917.70
2016-05-31,2941.00,2972.00,2937.00,2944.00,801900,2933.644
2016-05-30,2950.00,2950.00,2950.00,2950.00,000,2939.623
2016-05-27,2934.00,2958.00,2930.00,2950.00,466400,2939.623
2016-05-26,2944.00,2965.00,2934.00,2940.00,422900,2929.658
2016-05-25,2955.00,2977.00,2926.00,2955.00,876800,2944.605
2016-05-24,2883.00,2954.00,2883.00,2945.00,670700,2934.64
2016-05-23,2926.00,2932.27,2895.85,2900.00,497700,2889.799
2016-05-20,2905.00,2937.00,2905.00,2920.00,928000,2909.728
2016-05-19,2959.00,2959.00,2866.00,2885.00,2218500,2874.851
2016-05-18,2985.00,2993.00,2958.00,2959.00,1235700,2948.591
2016-05-17,3045.00,3060.00,2980.00,2980.00,935800,2969.517
2016-05-16,3019.00,3059.00,3013.00,3051.00,551800,3040.267
2016-05-13,3001.00,3037.00,2997.00,3037.00,744200,3026.317
2016-05-12,3090.00,3090.00,3009.00,3015.00,1233700,3004.394
2016-05-11,3105.00,3122.00,3089.00,3104.00,566200,3093.081
2016-05-10,3179.00,3201.00,3099.00,3113.00,700600,3102.049
2016-05-09,3118.00,3168.00,3116.78,3168.00,526600,3156.856
2016-05-06,3105.00,3122.00,3086.00,3099.00,785300,3088.099
2016-05-05,3098.00,3125.00,3088.00,3116.00,666700,3105.039
2016-05-04,3087.00,3110.00,3070.00,3085.00,610300,3074.148
2016-05-03,3078.00,3098.00,3048.00,3090.00,882400,3079.13
2016-04-29,3036.00,3086.00,3029.71,3064.00,704400,3053.222
2016-04-28,3143.00,3145.12,3047.00,3068.00,1105000,3057.208
2016-04-27,3125.00,3181.00,3113.00,3159.00,741600,3147.887
2016-04-26,3123.00,3147.00,3111.00,3132.00,767400,3120.982
2016-04-25,3140.00,3153.00,3098.00,3125.00,1019400,3114.007
2016-04-22,3215.00,3224.00,3131.00,3131.00,1060300,3119.986
2016-04-21,3335.00,3343.00,3216.00,3227.00,1056600,3215.648
2016-04-20,3405.00,3430.00,3330.00,3330.00,787700,3318.286
2016-04-19,3396.00,3442.00,3381.00,3413.00,825500,3400.994
2016-04-18,3322.00,3362.00,3318.00,3347.00,627300,3335.226
2016-04-15,3358.00,3382.00,3334.00,3357.00,607100,3345.191
2016-04-14,3359.00,3381.70,3351.00,3362.00,549800,3350.173
2016-04-13,3355.00,3379.00,3332.00,3367.00,527400,3355.156
2016-04-12,3354.00,3358.00,3317.00,3318.00,691600,3306.328
2016-04-11,3356.00,3392.00,3351.00,3351.00,437400,3339.212
2016-04-08,3392.00,3412.00,3364.68,3368.00,520100,3356.152
2016-04-07,3423.00,3448.00,3384.00,3387.00,489500,3375.085
2016-04-06,3409.00,3417.00,3382.00,3415.00,386200,3402.987
2016-04-05,3393.00,3408.00,3362.00,3399.00,508200,3387.043
2016-04-04,3353.00,3401.00,3348.00,3393.00,388100,3381.064
2016-04-01,3310.00,3346.00,3284.00,3344.00,379500,3332.237
2016-03-31,3352.00,3383.00,3345.00,3349.00,540200,3337.219
2016-03-30,3393.00,3412.00,3369.00,3369.00,486400,3357.149
2016-03-29,3287.00,3375.15,3287.00,3369.00,545400,3357.149
2016-03-28,3265.00,3265.00,3265.00,3265.00,000,3253.515
2016-03-24,3435.00,3435.00,3264.00,3265.00,936400,3253.515
2016-03-23,3442.00,3465.00,3437.00,3458.00,319100,3445.836
2016-03-22,3399.00,3432.00,3366.00,3430.00,414000,3417.934
2016-03-21,3401.00,3426.00,3397.30,3411.00,338600,3399.001
2016-03-18,3386.00,3424.00,3378.00,3420.00,649600,3407.969
2016-03-17,3408.00,3409.00,3361.00,3378.00,472000,3366.117
2016-03-16,3379.00,3396.00,3321.00,3387.00,618400,3375.085
2016-03-15,3357.00,3384.00,3347.00,3370.00,234700,3358.145
2016-03-14,3362.00,3391.00,3329.00,3370.00,360800,3358.145
2016-03-11,3339.00,3360.00,3315.00,3354.00,390200,3342.201
2016-03-10,3322.00,3390.00,3299.00,3301.00,620100,3289.388
2016-03-09,3336.00,3353.00,3320.00,3322.00,320100,3310.314
2016-03-08,3323.00,3336.00,3291.00,3321.00,351500,3309.318
2016-03-07,3329.00,3379.00,3320.00,3343.00,420900,3331.24
2016-03-04,3279.00,3341.00,3276.00,3341.00,746000,3329.247
2016-03-03,3352.00,3421.47,3272.00,3290.00,927000,3278.427
2016-03-02,3452.00,3452.00,3343.00,3354.00,649700,3342.201
2016-03-01,3412.00,3455.00,3384.00,3445.00,479300,3432.881
2016-02-29,3351.00,3411.00,3330.00,3406.00,710500,3394.019
2016-02-26,3394.00,3416.00,3343.00,3363.00,618700,3351.17
2016-02-25,3337.00,3381.00,3328.00,3370.00,457500,3358.145
2016-02-24,3301.00,3325.00,3293.00,3321.00,1318800,3309.318
2016-02-23,3316.00,3316.00,3278.00,3298.00,800600,3286.398
