Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,2021.00,2023.00,1975.00,2009.00,646500,2009.00
2016-07-14,2042.00,2053.00,2021.00,2029.00,631500,2029.00
2016-07-13,2006.00,2050.00,1998.00,2035.00,818600,2035.00
2016-07-12,2000.00,2041.00,2000.00,2004.00,489000,2004.00
2016-07-11,1997.00,2010.00,1977.00,2004.00,430500,2004.00
2016-07-08,1941.00,1986.00,1941.00,1982.00,517300,1982.00
2016-07-07,1931.00,1959.00,1930.00,1944.00,474700,1944.00
2016-07-06,1936.00,1950.00,1909.00,1913.00,561200,1913.00
2016-07-05,2007.00,2020.00,1935.00,1938.00,834600,1938.00
2016-07-04,2050.00,2057.26,2002.00,2009.00,440700,2009.00
2016-07-01,2051.00,2067.00,2024.00,2049.00,497600,2049.00
2016-06-30,1958.00,2030.00,1946.00,2030.00,1139800,2030.00
2016-06-29,1899.00,1963.00,1891.00,1963.00,701600,1963.00
2016-06-28,1876.00,1915.00,1860.00,1903.00,789000,1903.00
2016-06-27,1930.00,1931.00,1821.00,1827.00,1142200,1827.00
2016-06-24,1809.00,1977.00,1731.00,1950.00,1690100,1950.00
2016-06-23,2013.00,2021.00,1993.00,2011.00,896500,2011.00
2016-06-22,1982.00,1996.00,1971.00,1994.00,797600,1994.00
2016-06-21,1928.00,1975.00,1922.00,1970.00,826400,1970.00
2016-06-20,1894.00,1945.00,1892.00,1935.00,530100,1935.00
2016-06-17,1859.00,1870.00,1849.00,1859.00,957200,1859.00
2016-06-16,1845.00,1850.00,1832.00,1847.00,628900,1847.00
2016-06-15,1835.00,1865.00,1834.00,1856.00,670400,1856.00
2016-06-14,1837.00,1844.00,1815.00,1827.00,825800,1827.00
2016-06-13,1886.00,1895.00,1850.00,1850.00,650900,1850.00
2016-06-10,1971.00,1971.00,1905.00,1905.00,390200,1905.00
2016-06-09,1970.00,1975.37,1958.00,1972.00,411100,1972.00
2016-06-08,1956.00,1971.00,1953.00,1970.00,544500,1970.00
2016-06-07,1979.00,1979.00,1952.00,1960.00,434600,1960.00
2016-06-06,1981.00,1987.00,1966.00,1976.00,445200,1976.00
2016-06-03,1968.00,1987.00,1960.83,1977.00,699400,1977.00
2016-06-02,1968.00,1980.00,1952.00,1962.00,466300,1962.00
2016-06-01,1967.00,1974.00,1957.00,1974.00,435100,1974.00
2016-05-31,1952.00,1973.00,1947.00,1968.00,2678500,1968.00
2016-05-30,1947.00,1947.00,1947.00,1947.00,000,1947.00
2016-05-27,1936.00,1947.00,1929.00,1947.00,361600,1947.00
2016-05-26,1918.00,1944.00,1916.00,1944.00,389400,1944.00
2016-05-25,1943.00,1945.00,1915.00,1918.00,442700,1918.00
2016-05-24,1874.00,1937.00,1870.00,1932.00,689400,1932.00
2016-05-23,1876.00,1891.00,1867.00,1878.00,2144100,1878.00
2016-05-20,1895.00,1899.00,1867.00,1873.00,618800,1873.00
2016-05-19,1870.00,1907.00,1870.00,1878.00,602500,1878.00
2016-05-18,1866.00,1867.00,1832.00,1862.00,552000,1862.00
2016-05-17,1885.00,1885.00,1866.00,1870.00,470000,1870.00
2016-05-16,1844.00,1873.00,1842.00,1873.00,269100,1873.00
2016-05-13,1861.00,1862.37,1831.00,1851.00,489600,1851.00
2016-05-12,1900.00,1900.00,1853.00,1869.00,841900,1869.00
2016-05-11,1905.00,1927.00,1902.00,1923.00,680500,1889.40
2016-05-10,1917.00,1932.00,1902.00,1906.00,495100,1872.697
2016-05-09,1925.00,1959.00,1911.00,1911.00,648100,1877.61
2016-05-06,1923.00,1923.00,1900.00,1920.00,542600,1886.452
2016-05-05,1932.00,1950.31,1915.48,1927.00,605400,1893.33
2016-05-04,1895.00,1928.00,1895.00,1928.00,717600,1894.313
2016-05-03,1940.00,1942.00,1890.00,1903.00,786000,1869.749
2016-04-29,1857.00,1868.00,1849.00,1857.00,560100,1824.553
2016-04-28,1841.00,1866.00,1828.00,1866.00,507300,1833.396
2016-04-27,1863.00,1873.00,1843.00,1854.00,478800,1821.606
2016-04-26,1853.00,1881.00,1853.00,1866.00,528500,1833.396
2016-04-25,1864.00,1876.00,1850.00,1851.00,447000,1818.658
2016-04-22,1886.00,1889.00,1861.00,1866.00,493800,1833.396
2016-04-21,1931.00,1932.00,1890.00,1896.00,814800,1862.872
2016-04-20,1946.00,1951.00,1926.00,1930.00,573300,1896.278
2016-04-19,1929.00,1950.00,1922.00,1950.00,523100,1915.928
2016-04-18,1918.00,1933.00,1915.00,1927.00,378600,1893.33
2016-04-15,1940.00,1940.00,1922.00,1931.00,442400,1897.26
2016-04-14,1952.00,1952.00,1935.00,1938.00,475900,1904.138
2016-04-13,1956.00,1956.00,1933.00,1947.00,511000,1912.981
2016-04-12,1934.00,1946.00,1919.00,1942.00,590700,1908.068
2016-04-11,1930.00,1943.00,1922.00,1930.00,548400,1896.278
2016-04-08,1938.00,1941.00,1924.00,1933.00,268800,1899.225
2016-04-07,1922.00,1937.00,1920.00,1929.00,369100,1895.295
2016-04-06,1912.00,1922.00,1895.00,1922.00,423600,1888.418
2016-04-05,1917.00,1947.24,1897.38,1912.00,444200,1878.592
2016-04-04,1932.00,1947.24,1919.00,1928.00,640100,1894.313
2016-04-01,1963.00,1963.00,1919.00,1954.00,660600,1919.858
2016-03-31,1961.00,1990.00,1957.00,1983.00,762800,1948.352
2016-03-30,1942.00,1969.00,1936.00,1969.00,564300,1934.596
2016-03-29,1905.00,1931.00,1905.00,1925.00,492100,1891.365
2016-03-28,1900.00,1900.00,1900.00,1900.00,000,1866.802
2016-03-24,1907.00,1923.00,1896.00,1900.00,562500,1866.802
2016-03-23,1927.00,1940.00,1916.00,1923.00,462200,1889.40
2016-03-22,1913.00,1933.00,1909.00,1932.00,546800,1898.243
