Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,503.50,511.00,492.60,508.00,2803500,508.00
2016-07-14,511.00,517.00,495.80,505.00,4162300,505.00
2016-07-13,488.90,527.893,488.90,504.00,5431300,504.00
2016-07-12,481.00,487.10,476.70,486.00,2669700,486.00
2016-07-11,462.80,480.40,462.80,479.50,2291300,479.50
2016-07-08,462.10,471.30,449.60,456.70,3185900,456.70
2016-07-07,470.50,482.00,464.10,464.70,2793800,464.70
2016-07-06,459.70,477.80,455.65,462.00,2916200,462.00
2016-07-05,478.60,483.10,458.10,461.50,2610600,461.50
2016-07-04,477.70,489.60,475.415,480.60,3076300,480.60
2016-07-01,468.80,476.80,450.40,469.60,3326200,469.60
2016-06-30,444.70,471.40,435.60,465.60,5415500,465.60
2016-06-29,421.80,443.00,418.00,443.00,3996900,443.00
2016-06-28,434.90,437.90,414.20,415.20,5150100,415.20
2016-06-27,432.80,446.30,416.70,423.10,4308800,423.10
2016-06-24,408.10,439.90,408.10,430.30,3399900,430.30
2016-06-23,428.60,440.30,421.80,440.30,3805800,440.30
2016-06-22,438.00,439.20,420.50,425.00,3067500,425.00
2016-06-21,431.40,434.40,423.10,433.00,1722100,433.00
2016-06-20,435.50,437.30,426.30,433.90,2414200,433.90
2016-06-17,412.10,426.50,411.40,423.90,5458500,423.90
2016-06-16,416.10,421.70,404.40,409.70,3025100,409.70
2016-06-15,400.20,425.00,399.80,419.70,4888700,419.70
2016-06-14,409.50,414.00,394.50,394.50,3718800,394.50
2016-06-13,413.00,420.80,412.10,416.60,3916100,416.60
2016-06-10,418.90,422.00,416.00,418.60,4457100,418.60
2016-06-09,447.50,448.81,416.50,423.40,6002600,423.40
2016-06-08,440.50,459.226,440.10,451.70,2313000,451.70
2016-06-07,452.00,458.20,431.40,440.10,3529200,440.10
2016-06-06,436.30,458.90,435.736,450.00,3277000,450.00
2016-06-03,425.00,430.60,420.40,428.30,2460700,428.30
2016-06-02,415.80,421.70,411.00,417.40,3783600,417.40
2016-06-01,424.00,424.00,406.80,415.70,4028100,415.70
2016-05-31,436.70,439.60,425.80,429.00,3132000,429.00
2016-05-30,436.60,436.60,436.60,436.60,000,436.60
2016-05-27,449.50,452.40,432.70,436.60,3276200,436.60
2016-05-26,449.50,463.708,445.90,447.90,2915600,447.90
2016-05-25,438.10,446.60,428.60,442.50,2252800,442.50
2016-05-24,432.30,440.40,427.00,434.40,2283200,434.40
2016-05-23,426.80,433.40,423.20,431.20,2939500,431.20
2016-05-20,425.50,433.60,424.30,429.00,4222800,429.00
2016-05-19,412.00,419.50,406.00,419.00,3247100,419.00
2016-05-18,430.60,430.60,412.00,421.10,3749700,421.10
2016-05-17,428.70,437.90,423.20,433.80,2690700,433.80
2016-05-16,412.20,434.50,412.20,425.60,2489200,425.60
2016-05-13,402.00,421.00,400.836,411.80,4052700,411.80
2016-05-12,421.40,423.336,402.00,406.10,3814800,406.10
2016-05-11,418.60,429.60,418.244,425.70,2703900,425.70
2016-05-10,419.50,428.50,405.60,418.40,3945000,418.40
2016-05-09,431.80,431.80,410.40,416.60,4712500,416.60
2016-05-06,439.20,445.00,427.40,441.50,3672200,441.50
2016-05-05,434.40,445.70,431.20,442.30,2905100,442.30
2016-05-04,440.00,445.50,427.00,435.40,4124800,435.40
2016-05-03,480.00,483.80,442.40,447.70,5428200,447.70
2016-04-29,471.50,486.40,465.306,483.20,5045000,483.20
2016-04-28,472.90,477.60,463.30,476.00,4775100,476.00
2016-04-27,462.60,485.70,461.80,478.80,2907100,478.80
2016-04-26,469.50,478.60,464.20,471.00,3719300,471.00
2016-04-25,477.50,477.50,463.10,470.00,3254200,470.00
2016-04-22,484.10,484.30,461.50,479.80,2518900,479.80
2016-04-21,510.00,516.00,478.10,486.10,4376500,486.10
2016-04-20,488.40,513.50,465.232,500.00,4054600,500.00
2016-04-19,462.30,497.50,458.366,492.80,5178300,492.80
2016-04-18,463.20,465.40,451.70,458.20,3647000,458.20
2016-04-15,462.30,472.20,454.00,471.00,4119300,471.00
2016-04-14,465.50,473.206,454.60,465.00,4761200,465.00
2016-04-13,455.30,470.50,447.90,469.50,6017600,469.50
2016-04-12,441.70,448.40,439.60,446.50,3751900,446.50
2016-04-11,431.20,442.20,427.60,439.30,3045600,439.30
2016-04-08,430.90,438.80,424.70,433.70,3179900,433.70
2016-04-07,438.00,443.30,426.30,426.90,5507800,426.90
2016-04-06,435.80,443.80,434.20,438.50,6230700,438.50
2016-04-05,435.60,453.68,427.00,432.70,4074900,432.70
2016-04-04,452.70,457.60,441.00,444.20,4149400,444.20
2016-04-01,465.00,472.30,446.30,453.90,5225100,453.90
2016-03-31,469.00,485.30,458.70,469.40,5015300,469.40
2016-03-30,459.40,476.60,459.10,469.70,3950900,469.70
2016-03-29,472.50,476.40,451.50,454.00,2515900,454.00
2016-03-28,469.40,469.40,469.40,469.40,000,469.40
2016-03-24,472.00,474.10,456.30,469.40,2784000,469.40
2016-03-23,491.20,497.10,476.70,482.20,3556200,482.20
2016-03-22,492.80,502.158,487.40,497.70,3352000,497.70
2016-03-21,506.50,507.50,493.10,495.70,4545300,495.70
2016-03-18,539.50,544.00,509.00,514.50,6539500,514.50
2016-03-17,506.50,550.50,506.50,537.50,5554600,537.50
2016-03-16,510.00,515.00,478.50,496.40,4857500,496.40
2016-03-15,480.50,518.50,476.70,513.50,6367900,513.50
2016-03-14,529.50,550.00,520.50,537.50,3465400,537.50
2016-03-11,514.50,525.00,506.00,524.00,3106800,524.00
2016-03-10,533.50,541.50,506.00,509.50,4704600,509.50
2016-03-09,535.50,542.00,518.50,534.50,3400900,534.50
2016-03-08,581.00,581.00,527.50,536.50,5157900,536.50
2016-03-07,548.00,594.50,533.50,592.50,4715800,592.50
2016-03-04,520.50,552.00,520.50,550.50,4398900,550.50
2016-03-03,512.50,531.99,503.00,511.00,3404800,511.00
2016-03-02,519.50,519.50,500.00,508.00,4989900,508.00
2016-03-01,490.60,511.50,483.50,490.40,3105600,490.40
2016-02-29,476.80,501.00,475.10,494.00,4056000,494.00
2016-02-26,473.70,489.00,473.70,484.40,3375900,484.40
2016-02-25,479.80,490.90,472.30,477.60,2749800,477.60
2016-02-24,495.10,495.10,467.80,476.50,3957500,476.50
2016-02-23,510.50,511.00,492.70,496.60,3652600,496.60
2016-02-22,488.00,520.00,488.00,517.50,2441100,517.50
2016-02-19,473.00,481.00,468.30,480.50,2767000,480.50
2016-02-18,480.70,486.50,463.40,477.30,4083100,477.30
2016-02-17,440.90,478.70,434.60,478.40,4530000,478.40
2016-02-16,448.80,456.40,426.30,440.60,2944600,440.60
2016-02-15,444.00,449.50,430.792,442.80,3215200,442.80
2016-02-12,390.60,433.80,390.60,433.30,5125400,433.30
2016-02-11,392.00,399.60,373.00,389.50,5144200,389.50
2016-02-10,411.00,420.20,394.10,398.40,4551300,398.40
2016-02-09,431.10,439.10,406.20,410.90,6451900,410.90
2016-02-08,449.40,456.70,426.00,453.40,6577100,453.40
2016-02-05,427.90,449.90,417.20,446.30,6339800,446.30
2016-02-04,391.00,445.10,389.50,430.30,7057100,430.30
2016-02-03,365.70,379.00,361.10,375.60,4416300,375.60
2016-02-02,372.20,373.60,359.30,365.50,4444900,365.50
2016-02-01,380.00,383.00,364.70,374.00,3797300,374.00
2016-01-29,391.00,391.90,364.30,380.20,4370200,380.20
2016-01-28,376.80,393.10,374.00,384.00,6120000,384.00
2016-01-27,369.10,376.70,358.00,375.40,5135100,375.40
2016-01-26,353.50,381.40,350.40,378.00,5392400,378.00
2016-01-25,374.30,374.404,359.60,363.20,4368700,363.20
2016-01-22,399.00,399.20,369.20,372.20,6607200,372.20
2016-01-21,345.80,366.00,343.40,365.40,3200300,365.40
2016-01-20,344.50,354.20,340.60,346.10,4000900,346.10
2016-01-19,358.90,370.00,352.20,355.50,4425800,355.50
2016-01-18,350.60,356.60,343.10,350.00,4101800,350.00
2016-01-15,367.50,368.60,348.60,350.60,4336300,350.60
2016-01-14,367.30,379.688,354.40,372.90,8836400,372.90
2016-01-13,380.00,386.00,366.80,368.80,3773500,368.80
2016-01-12,383.00,397.90,372.50,374.10,5349200,374.10
2016-01-11,394.00,405.50,380.361,387.70,4114600,387.70
2016-01-08,408.10,418.90,396.90,398.30,2704400,398.30
2016-01-07,417.10,417.90,402.40,410.60,3810500,410.60
2016-01-06,442.30,442.30,423.10,433.70,2261400,433.70
2016-01-05,452.50,458.30,438.10,446.90,3324200,446.90
2016-01-04,460.00,460.00,443.10,445.70,2330700,445.70
2015-12-31,466.90,471.20,465.30,469.30,568300,469.30
2015-12-30,457.30,475.40,457.30,472.10,2395300,472.10
2015-12-29,459.80,460.70,449.30,460.70,2077900,460.70
2015-12-28,462.60,462.60,462.60,462.60,000,462.60
2015-12-25,462.60,462.60,462.60,462.60,000,462.60
2015-12-24,473.90,473.90,458.30,462.60,425900,462.60
2015-12-23,455.20,466.80,455.00,463.10,2514800,463.10
2015-12-22,429.30,445.50,424.00,445.00,2855600,445.00
2015-12-21,414.10,432.50,412.80,425.20,3378900,425.20
2015-12-18,410.30,421.70,409.40,416.30,3392300,416.30
2015-12-17,427.40,431.50,413.40,415.00,3117000,415.00
2015-12-16,413.50,426.40,412.20,417.70,3382900,417.70
2015-12-15,418.40,420.80,411.30,412.90,3409100,412.90
2015-12-14,431.10,434.90,408.90,412.30,2948900,412.30
2015-12-11,448.10,456.90,426.40,428.90,3316800,428.90
2015-12-10,445.10,459.70,441.00,446.00,2252600,446.00
2015-12-09,445.20,450.80,422.80,446.60,5156700,446.60
2015-12-08,475.10,475.10,441.10,441.70,6409300,441.70
2015-12-07,494.70,494.70,477.30,477.90,1953200,477.90
2015-12-04,502.00,508.50,489.30,491.70,2526400,491.70
2015-12-03,511.50,515.00,500.965,501.00,2640800,501.00
2015-12-02,513.50,520.50,508.50,514.50,2473600,514.50
2015-12-01,507.00,516.50,506.50,512.50,2938600,512.50
2015-11-30,495.80,509.00,483.20,507.50,3687800,507.50
