Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,1185.00,1189.00,1167.00,1189.00,3565000,1189.00
2016-07-14,1189.00,1207.00,1182.00,1185.00,4127100,1185.00
2016-07-13,1179.00,1193.50,1025.88,1188.00,3282700,1188.00
2016-07-12,1208.00,1208.00,1172.00,1176.00,5160600,1176.00
2016-07-11,1177.00,1189.00,1169.00,1189.00,2944300,1189.00
2016-07-08,1128.00,1169.00,1127.00,1167.00,4282800,1167.00
2016-07-07,1127.00,1136.00,1115.00,1129.00,4460000,1129.00
2016-07-06,1133.00,1141.50,1113.00,1125.00,4284900,1125.00
2016-07-05,1120.00,1139.00,1118.00,1139.00,3930800,1139.00
2016-07-04,1135.00,1135.00,1112.00,1115.00,1484000,1115.00
2016-07-01,1138.00,1142.00,1098.00,1131.00,4321700,1131.00
2016-06-30,1087.00,1131.00,1082.00,1131.00,4789700,1131.00
2016-06-29,1061.00,1089.00,1054.00,1088.00,3874000,1088.00
2016-06-28,1047.00,1062.00,1025.00,1050.00,4415000,1050.00
2016-06-27,1061.00,1063.00,1021.00,1028.00,7230600,1028.00
2016-06-24,975.00,1088.00,970.00,1080.00,11797200,1080.00
2016-06-23,1024.00,1034.47,1009.00,1019.00,3339000,1019.00
2016-06-22,1025.00,1028.06,1013.00,1021.00,4580400,1021.00
2016-06-21,998.50,1017.00,997.00,1013.00,3860500,1013.00
2016-06-20,989.50,1011.00,985.50,1009.00,4557200,1009.00
2016-06-17,978.00,983.00,964.50,970.50,4680800,970.50
2016-06-16,963.00,978.00,960.606,974.00,3137400,974.00
2016-06-15,972.00,982.50,969.152,974.50,3782200,974.50
2016-06-14,955.00,967.00,950.50,959.00,3960600,959.00
2016-06-13,951.00,962.00,942.122,960.00,5068000,960.00
2016-06-10,988.00,988.00,940.50,966.00,6112400,966.00
2016-06-09,995.00,1001.00,987.00,994.50,2791200,994.50
2016-06-08,1005.00,1013.00,992.50,1000.00,2943700,1000.00
2016-06-07,1010.00,1018.00,1005.00,1011.00,3315100,1011.00
2016-06-06,992.00,1012.00,991.00,1004.00,3177200,1004.00
2016-06-03,986.50,1002.00,983.50,991.50,3816300,991.50
2016-06-02,978.00,985.00,971.50,984.00,3293700,984.00
2016-06-01,985.50,989.50,966.50,978.00,3546300,978.00
2016-05-31,984.00,990.158,973.00,987.00,3870700,987.00
2016-05-30,982.00,982.00,982.00,982.00,000,982.00
2016-05-27,978.00,984.00,973.00,982.00,3257900,982.00
2016-05-26,971.50,982.00,970.50,978.00,2247300,978.00
2016-05-25,976.50,979.00,969.50,974.50,2690000,974.50
2016-05-24,964.50,971.44,952.218,967.00,4096200,967.00
2016-05-23,956.00,973.50,950.132,963.00,5465500,963.00
2016-05-20,934.50,946.00,930.50,944.50,4201800,944.50
2016-05-19,936.50,939.341,923.50,925.00,4340800,925.00
2016-05-18,923.00,947.50,920.00,946.00,4219700,946.00
2016-05-17,936.50,939.50,924.50,928.00,3988600,928.00
2016-05-16,915.50,939.00,913.00,935.50,3076900,935.50
2016-05-13,906.50,924.00,902.00,921.50,3928100,921.50
2016-05-12,942.00,947.00,905.00,908.00,4322000,908.00
2016-05-11,946.00,953.00,940.50,946.00,2971100,946.00
2016-05-10,954.50,958.868,943.50,950.00,3295400,950.00
2016-05-09,936.50,958.00,936.50,950.00,3218800,950.00
2016-05-06,935.50,940.50,931.00,931.00,4312900,931.00
2016-05-05,933.50,942.50,927.00,942.50,3790000,942.50
2016-05-04,933.00,941.00,931.00,936.50,3637900,936.50
2016-05-03,933.50,946.00,930.00,933.50,5923500,933.50
2016-04-29,953.00,957.00,937.50,937.50,6376400,937.50
2016-04-28,951.50,965.00,940.00,965.00,6051700,965.00
2016-04-27,925.50,953.00,915.50,947.00,7028200,947.00
2016-04-26,925.00,933.68,912.06,927.50,4163900,927.50
2016-04-25,935.00,935.50,924.00,930.00,4007000,930.00
2016-04-22,931.00,936.50,924.921,935.00,3279200,935.00
2016-04-21,953.00,956.58,932.00,936.00,4263100,936.00
2016-04-20,977.00,1013.00,954.00,954.00,7209500,948.37
2016-04-19,948.50,966.00,945.973,964.00,4206700,958.311
2016-04-18,970.00,974.00,952.00,952.00,5903900,946.382
2016-04-15,1005.00,1005.01,976.50,990.00,5470600,984.158
2016-04-14,1036.00,1037.00,1006.00,1008.00,3512500,1002.051
2016-04-13,1034.00,1040.00,1018.47,1035.00,2470400,1028.892
2016-04-12,1029.00,1031.00,1016.50,1026.00,1898100,1019.945
2016-04-11,1039.00,1044.00,1030.28,1033.00,1695900,1026.904
2016-04-08,1046.00,1050.36,1041.92,1046.00,3330900,1039.827
2016-04-07,1034.00,1050.00,1034.00,1042.00,2647300,1035.851
2016-04-06,1027.00,1032.00,1020.00,1029.00,2032000,1022.927
2016-04-05,1018.00,1029.46,1015.00,1023.00,2247100,1016.963
2016-04-04,1030.00,1040.00,1023.00,1028.00,2573700,1021.933
2016-04-01,1005.00,1027.50,1004.70,1026.00,2770500,1019.945
2016-03-31,1024.00,1024.00,1008.00,1014.00,2501900,1008.016
2016-03-30,1020.00,1025.00,1013.00,1024.00,2279000,1017.957
2016-03-29,1003.00,1009.51,996.00,1009.00,2330700,1003.045
2016-03-28,1002.00,1002.00,1002.00,1002.00,000,996.087
2016-03-24,1006.00,1011.00,997.50,1002.00,1815300,996.087
2016-03-23,1019.00,1025.08,1012.00,1016.00,2081000,1010.004
2016-03-22,1005.00,1021.00,998.50,1016.00,2717200,1010.004
2016-03-21,1004.00,1020.00,1001.00,1009.00,1973400,1003.045
2016-03-18,1009.00,1023.00,1006.00,1010.00,5259900,1004.04
2016-03-17,1013.00,1021.00,1001.00,1008.00,4501700,1002.051
2016-03-16,992.00,1009.00,990.00,1009.00,2779400,1003.045
2016-03-15,985.00,992.50,982.00,986.50,2360400,980.678
2016-03-14,986.00,1003.00,981.50,989.00,2287400,983.163
2016-03-11,981.00,996.50,978.50,983.00,2920300,977.199
2016-03-10,985.00,998.50,968.00,968.00,4524300,962.287
2016-03-09,984.00,988.00,978.50,982.00,3098300,976.205
2016-03-08,985.00,991.50,979.50,986.00,4659900,980.181
2016-03-07,1009.00,1012.26,996.50,1006.00,3194600,1000.063
2016-03-04,1023.00,1025.00,1007.00,1017.00,2970500,1010.998
2016-03-03,1015.00,1029.17,1012.00,1019.00,2384400,1012.986
2016-03-02,1018.00,1030.30,1013.00,1020.00,2756500,1013.981
2016-03-01,990.50,1015.00,990.00,1015.00,4805300,1009.01
2016-02-29,970.00,996.00,968.50,996.00,3180900,990.122
2016-02-26,960.00,979.50,958.50,977.50,3275100,971.731
2016-02-25,947.50,957.00,940.00,950.00,3092600,944.394
2016-02-24,953.50,957.10,935.50,940.00,4979100,934.453
2016-02-23,949.50,960.00,942.00,950.50,3409500,944.891
2016-02-22,930.00,952.00,929.474,944.50,2236200,938.926
2016-02-19,934.50,943.50,929.50,937.00,4173600,931.47
2016-02-18,930.50,947.00,921.851,932.00,4007800,926.50
2016-02-17,903.50,932.50,901.50,930.00,5285300,924.512
2016-02-16,900.00,908.50,890.50,898.00,3228900,892.70
2016-02-15,900.00,908.00,891.50,893.00,2427400,887.73
2016-02-12,870.50,888.025,866.50,885.50,5816200,880.274
2016-02-11,858.50,873.00,831.644,860.50,13338600,855.422
